??,Age range,Gender,Area,Frequence,Place,Value,Type,Retail Brand,Supermarket,Online channel,,,
128,30 to 40,Male,North,Other,Specialized fruit market,Type\Freshness,Apple\Banana,Guoduomei\Joyvio\None or Other,Walmart\Lotus,Tmall\Pinduoduo,,,
129,30 to 40,Male,Northwest,Other,Other,Type\Freshness,Banana\Orange\Pineapple,Pagoda\XianFengsg,Walmart\Freshippo,Tmall\Pinduoduo,,,
130,30 to 40,Male,Southwest,Once a week,Other,Price\Velocity,Banana\Cherry,Pagoda\XianFengsg,Walmart\Freshippo,Tmall\Pinduoduo,,,
131,30 to 40,Male,North,Not regularly,Specialized fruit market,Type\Freshness,Banana\Orange\Pineapple,XianFengsg\Guoduomei\HUASHENG,Walmart\Lotus,Tmall\Pinduoduo,,,
132,40 to 60,Female,South,Other,Specialized fruit market,Type\Velocity,Banana\Orange,HUASHENG\Joywingmau,Walmart\Lotus,JD\Tmall,,,
133,40 to 60,Male,Southwest,Not regularly,Retail store in the neighborhood,Type\Freshness,Banana\Watermelon\Strawberry,XianFengsg\Guoduomei,YongHui\Walmart,JD\Pinduoduo,,,
134,30 to 40,Female,North,Twice a week,Specialized fruit market,Type\Freshness,Apple\Orange,Guoduomei\Joyvio\HUASHENG,Walmart\Carrefour,Tmall\Pinduoduo,,,
135,30 to 40,Male,North,Twice a week,Online platform,Other,Banana\Orange\Pineapple,XianFengsg\Joyvio,None or Other,Pinduoduo\Suning,,,
136,40 to 60,Male,North,Twice a week,Specialized fruit market,Type\Freshness,Apple\Watermelon\Mango,Pagoda\Guoduomei,Walmart\Lotus,Tmall\Pinduoduo,,,
137,40 to 60,Female,North,Twice a week,Retail store in the neighborhood,Price\Velocity,Banana\Orange,Guoduomei\Joyvio\Zespri,Walmart\Lotus,Tmall\Pinduoduo,,,
138,30 to 40,Male,Northeast,Once a week,Retail store in the neighborhood,Type\Velocity,Apple\Banana\Other,XianFengsg\Guoduomei\Joyvio,Lotus\Superspecies,JD\Tmall,,,
139,40 to 60,Female,Northwest,Not regularly,Other,Type\Velocity,Orange\Watermelon\Pineapple,Pagoda\XianFengsg\Joyvio,YongHui\Freshippo,Tmall\Pinduoduo,,,
140,Above 60,Male,Northwest,Twice a week,Fruit section of a large supermarket,Other,Orange\Watermelon\Pineapple,XianFengsg\Guoduomei\HUASHENG,YongHui\Freshippo,JD\Tmall,,,
141,30 to 40,Female,North,Twice a month,Online platform,Price\Type,Apple\Banana\Peach,Guoduomei\Joyvio\HUASHENG,YongHui\Freshippo,Tmall\Suning,,,
142,Above 60,Female,East,Once a week,Online platform,Type\Freshness,Apple\Banana\Orange,Pagoda\Guoduomei\HUASHENG,Walmart\Freshippo,JD\Tmall,,,
143,30 to 40,Male,Southwest,Twice a month,Specialized fruit market,Price\Type,Apple\Banana\Watermelon,Pagoda\Guoduomei\HUASHENG,Lotus\Carrefour,JD\Suning,,,
144,30 to 40,Female,Northeast,Once a week,Retail store in the neighborhood,Type\Freshness,Apple\Watermelon\Strawberry,XianFengsg\Guoduomei\HUASHENG,Lotus\Carrefour,Tmall\Pinduoduo,,,
145,40 to 60,Male,Northwest,Other,Other,Price\Type,Apple\Banana\Orange,XianFengsg\Guoduomei,YongHui\Walmart,Tmall\Pinduoduo,,,
146,40 to 60,Female,Southwest,Not regularly,Specialized fruit market,Type\Velocity,Apple\Orange\Pineapple,XianFengsg\Guoduomei\HUASHENG,Walmart\Freshippo,JD\Tmall,,,
147,40 to 60,Male,North,Twice a week,Fruit section of a large supermarket,Type\Freshness,Apple\Banana\Grape,Pagoda\Joyvio\Joytree,Walmart\Freshippo,Pinduoduo\Suning,,,
148,40 to 60,Male,Northeast,Twice a week,Retail store in the neighborhood,Price\Velocity,Orange\Watermelon\Pomegranate,Pagoda\XianFengsg\Guoduomei,Lotus\Carrefour,Tmall\Pinduoduo,,,
149,30 to 40,Female,North,Twice a week,Specialized fruit market,Type\Velocity,Orange\Watermelon\Peach,XianFengsg\Guoduomei,Walmart\Freshippo,Tmall\Pinduoduo,,,
150,30 to 40,Female,South,Twice a week,Online platform,Price,Grape\Strawberry\Other,Pagoda\Dole\Zespri,Freshippo,None or Other,,,
151,30 to 40,Male,Northeast,Once a week,Retail store in the neighborhood,Type\Freshness,Orange\Watermelon,Pagoda\XianFengsg\Dole,YongHui\Vanguard,JD\Tmall,,,
152,30 to 40,Male,South,Everyday,Fruit section of a large supermarket,Price\Type,Orange\Watermelon\Pineapple,XianFengsg\Guoduomei\HUASHENG,YongHui\Vanguard,JD\Suning,,,
153,30 to 40,Male,North,Once a week,Fruit section of a large supermarket,Type\Freshness,Banana\Orange\Watermelon\Cherry,XianFengsg\Guoduomei,Walmart\Freshippo,Tmall\Pinduoduo,,,
154,40 to 60,Female,Southwest,Everyday,Fruit section of a large supermarket,Price\Freshness,Apple\Banana\Grape,Guoduomei\Joyvio,YongHui\Freshippo,Tmall\Suning,,,
155,40 to 60,Female,South,Once a week,Fruit section of a large supermarket,Type\Velocity,Orange\Watermelon\Pomegranate,Pagoda\XianFengsg\Guoduomei,YongHui\Freshippo,Pinduoduo\Suning,,,
156,30 to 40,Male,Southwest,Other,Specialized fruit market,Price\Type,Orange\Watermelon\Pineapple,Guoduomei\Joyvio\HUASHENG,Walmart\Freshippo,Pinduoduo\Suning,,,
157,30 to 40,Female,South,Everyday,Famous fruit chain,Type\Freshness,Orange\Watermelon,Joyvio\HUASHENG,Walmart\Freshippo,Tmall\Suning,,,
158,30 to 40,Male,North,Everyday,Specialized fruit market,Price\Type,Apple\Banana,Guoduomei\Dole,Walmart\Lotus,Pinduoduo\Suning,,,
159,30 to 40,Male,North,Everyday,Specialized fruit market,Price\Type,Banana\Orange\Pineapple,Pagoda\Guoduomei,None or Other,Pinduoduo\Suning,,,
160,Above 60,Male,Southwest,Not regularly,Retail store in the neighborhood,Type\Freshness,Banana\Orange,XianFengsg\Joyvio,Walmart\Lotus,Tmall\Pinduoduo,,,
161,40 to 60,Female,South,Twice a month,Online platform,Price\Type,Apple\Banana\Watermelon,XianFengsg\Joywingmau,None or Other,Meituan,,,
162,40 to 60,Male,Southwest,Everyday,Retail store in the neighborhood,Price\Type,Orange\Watermelon,Guoduomei\Dole,None or Other,JD\Pinduoduo,,,
163,40 to 60,Male,Northwest,Twice a month,Famous fruit chain,Price\Type,Apple\Banana\Grape,XianFengsg\Guoduomei\HUASHENG,YongHui\Walmart,JD\Tmall,,,
164,Above 60,Female,Northwest,Not regularly,Retail store in the neighborhood,Type\Freshness,Apple\Banana\Grape,Pagoda\XianFengsg,Walmart\Freshippo,JD\Tmall,,,
165,40 to 60,Male,North,Not regularly,Famous fruit chain,Type\Freshness,Apple\Banana\Watermelon,Pagoda\Guoduomei\HUASHENG,YongHui\Vanguard,Meituan,,,
166,Above 60,Female,East,Other,Specialized fruit market,Price\Velocity,Apple\Banana\Peach,XianFengsg\Joyvio,None or Other,JD\Tmall,,,
167,Above 60,Male,Northwest,Twice a week,Online platform,Price\Type,Banana\Orange\Watermelon,XianFengsg\Dole,YongHui\Walmart,JD\Pinduoduo,,,
168,30 to 40,Female,North,Everyday,Other,Type\Freshness,Orange\Watermelon,XianFengsg\Dole,Walmart\Carrefour,Tmall\Pinduoduo,,,
169,Above 60,Male,North,Twice a week,Specialized fruit market,Type\Freshness,Banana\Watermelon\Other,Pagoda\Guoduomei\Goodfarmer,YongHui\Freshippo,JD\Suning,,,
170,30 to 40,Female,South,Everyday,Fruit section of a large supermarket,Type\Freshness,Banana\Watermelon\Mango,Joyvio\HUASHENG\None or Other,None or Other,Tmall\Pinduoduo,,,
171,Above 60,Female,North,Everyday,Retail store in the neighborhood,Price\Type,Apple\Banana\Orange,Guoduomei\Joyvio\HUASHENG,YongHui\Vanguard,JD\Suning,,,
172,30 to 40,Male,Southwest,Once a week,Retail store in the neighborhood,Type\Freshness,Watermelon\Pineapple,XianFengsg\Guoduomei,Lotus\Carrefour,Pinduoduo\Suning,,,
173,Above 60,Male,Northeast,Twice a month,Specialized fruit market,Type\Velocity,Banana\Grape,XianFengsg\Guoduomei,YongHui\Walmart,Pinduoduo\Suning,,,
174,30 to 40,Female,East,Twice a week,Other,Type\Freshness,Apple\Watermelon\Mango,XianFengsg\Guoduomei\HUASHENG,Walmart\Carrefour,Pinduoduo\Suning,,,
175,40 to 60,Male,Northeast,Once a week,Retail store in the neighborhood,Freshness\Velocity,Apple\Banana,Guoduomei\Joyvio,YongHui\Walmart,Tmall\Suning,,,
176,40 to 60,Female,South,Not regularly,Fruit section of a large supermarket,Price\Type,Apple\Banana\Grape,XianFengsg\Joyvio\Joytree,None or Other,JD\Tmall,,,
177,30 to 40,Male,Northwest,Everyday,Online platform,Other,Banana\Orange\Pineapple,XianFengsg\Dole,Lotus\Superspecies,Pinduoduo\Suning,,,
178,30 to 40,Female,Northeast,Twice a week,Fruit section of a large supermarket,Other,Orange\Watermelon\Pineapple,XianFengsg\Dole,Walmart\Freshippo,JD\Pinduoduo,,,
179,40 to 60,Male,North,Once a week,Retail store in the neighborhood,Price\Type,Apple\Watermelon\Strawberry,Pagoda\XianFengsg\Guoduomei,Walmart\Carrefour,Tmall\Pinduoduo,,,
180,30 to 40,Female,South,Once a week,Other,Other,Banana\Orange\Pineapple,Guoduomei\Joyvio\Zespri,YongHui\Vanguard,JD\Tmall,,,
181,30 to 40,Male,Southwest,Everyday,Famous fruit chain,Price\Type,Orange\Watermelon\Pomegranate,Pagoda\XianFengsg\Guoduomei,Walmart\Carrefour,JD\Suning,,,
182,30 to 40,Male,North,Once a week,Famous fruit chain,Type\Velocity,Banana\Orange,XianFengsg\Guoduomei,YongHui\Vanguard,Pinduoduo\Suning,,,
183,18 to 30,Female,South,Twice a week,Retail store in the neighborhood,Price\Freshness,Orange\Grape\Peach,None or Other,Vanguard\Freshippo,JD\Meituan,,,
184,30 to 40,Female,Northwest,Twice a week,Online platform,Other,Apple\Orange\Pineapple,Guoduomei\Joyvio\HUASHENG,YongHui\Vanguard,JD\Pinduoduo,,,
185,40 to 60,Male,North,Everyday,Retail store in the neighborhood,Type\Freshness,Banana\Watermelon,XianFengsg\Guoduomei,Walmart\Lotus,Tmall\Pinduoduo,,,
186,Above 60,Male,Northwest,Twice a week,Specialized fruit market,Other,Apple\Banana\Orange,Guoduomei\Joyvio,Lotus\Superspecies,Tmall\Pinduoduo,,,
187,30 to 40,Female,Northwest,Twice a month,Specialized fruit market,Type\Freshness,Apple\Banana\Watermelon,Pagoda\Joyvio\Goodfarmer,YongHui\Freshippo,JD\Pinduoduo,,,
188,30 to 40,Female,Southwest,Other,Retail store in the neighborhood,Other,Apple\Orange,Pagoda\Joyvio\Joytree,Lotus\Superspecies,JD\Pinduoduo,,,
189,40 to 60,Male,Southwest,Everyday,Fruit section of a large supermarket,Price\Freshness,Watermelon\Pineapple\Grape,Pagoda\Guoduomei,None or Other,JD\Tmall,,,
190,30 to 40,Male,North,Not regularly,Famous fruit chain,Price\Type,Banana\Orange,Guoduomei\Joyvio\HUASHENG,Walmart\Freshippo,Meituan,,,
191,40 to 60,Male,Southwest,Twice a week,Fruit section of a large supermarket,Type\Freshness,Banana\Watermelon\Mango,XianFengsg\Guoduomei,Walmart\Freshippo,Pinduoduo\Suning,,,
192,30 to 40,Female,Southwest,Twice a week,Retail store in the neighborhood,Price\Freshness,Apple\Orange\Pineapple,Pagoda\Joyvio\Joytree,None or Other,Tmall\Pinduoduo,,,
193,40 to 60,Female,South,Once a week,Fruit section of a large supermarket,Price\Freshness,Orange\Watermelon,Guoduomei\Joyvio\HUASHENG,Walmart\Freshippo,JD\Tmall,,,
194,30 to 40,Male,Northeast,Twice a week,Specialized fruit market,Type\Freshness,Banana\Orange,Guoduomei\Joywingmau,Lotus\Carrefour,Tmall\Pinduoduo,,,
195,40 to 60,Male,Northeast,Twice a month,Fruit section of a large supermarket,Type\Freshness,Apple\Orange,XianFengsg\Guoduomei\Joyvio,Lotus\Carrefour,JD\Tmall,,,
196,30 to 40,Male,North,Everyday,Online platform,Freshness\Velocity,Orange\Watermelon\Peach,Pagoda\Guoduomei,YongHui\Walmart,Meituan,,,
197,30 to 40,Female,Northwest,Once a week,Other,Other,Banana\Watermelon\Mango,Guoduomei\Joywingmau,YongHui\Freshippo,JD\Tmall,,,
198,30 to 40,Female,Northwest,Everyday,Famous fruit chain,Type\Freshness,Apple\Orange\Pineapple,XianFengsg\Guoduomei\HUASHENG,Lotus\Carrefour,Tmall\Pinduoduo,,,
199,30 to 40,Male,North,Twice a week,Fruit section of a large supermarket,Price\Freshness,Banana\Orange\Watermelon,Pagoda\XianFengsg\Joyvio,Walmart\Lotus,JD\Pinduoduo,,,
200,40 to 60,Male,North,Twice a month,Online platform,Price\Type,Orange\Grape,Pagoda\Guoduomei,Lotus\Superspecies,Tmall\Pinduoduo,,,
201,40 to 60,Male,Southwest,Twice a week,Retail store in the neighborhood,Price\Type,Apple\Banana,Pagoda\Guoduomei\HUASHENG,YongHui\Vanguard,JD\Pinduoduo,,,
202,30 to 40,Male,Northwest,Other,Retail store in the neighborhood,Other,Banana\Watermelon,XianFengsg\Guoduomei,Lotus\Superspecies,Tmall\Pinduoduo,,,
203,30 to 40,Male,Northeast,Everyday,Online platform,Type\Freshness,Banana\Watermelon\Mango,Joyvio\HUASHENG,None or Other,Tmall\Pinduoduo,,,
204,30 to 40,Female,Northwest,Twice a month,Retail store in the neighborhood,Type\Freshness,Banana\Orange\Watermelon,XianFengsg\Guoduomei\Joyvio\Joywingmau,YongHui\Vanguard,JD\Pinduoduo,,,
205,40 to 60,Male,Northwest,Twice a week,Specialized fruit market,Price\Freshness,Orange\Watermelon\Pineapple,Guoduomei\Joyvio,YongHui\Walmart,Tmall\Pinduoduo,,,
206,40 to 60,Male,Southwest,Everyday,Fruit section of a large supermarket,Price\Type,Apple\Orange\Strawberry,Joyvio\HUASHENG,None or Other,JD\Pinduoduo,,,
207,30 to 40,Male,North,Twice a week,Specialized fruit market,Price\Type,Apple\Watermelon,Pagoda\Guoduomei\HUASHENG,Walmart\Lotus,Meituan,,,
208,30 to 40,Male,Northeast,Once a week,Fruit section of a large supermarket,Price\Type,Orange\Watermelon\Pineapple,Pagoda\Joyvio\Joytree,Walmart\Carrefour,Tmall\Suning,,,
209,Above 60,Male,Northwest,Twice a month,Other,Type\Freshness,Apple\Banana\Orange,Pagoda\XianFengsg\Zespri,YongHui\Freshippo,JD\Tmall,,,
210,40 to 60,Female,Northeast,Not regularly,Other,Price\Velocity,Watermelon\Pineapple\Grape,Pagoda\Guoduomei\HUASHENG,Lotus\Superspecies,JD\Tmall,,,
211,Above 60,Female,South,Twice a week,Retail store in the neighborhood,Price\Type,Banana\Watermelon,XianFengsg\Guoduomei,YongHui\Vanguard,Tmall\Pinduoduo,,,
212,30 to 40,Male,North,Twice a month,Retail store in the neighborhood,Type\Freshness,Apple\Banana\Other,Pagoda\Joyvio\Joytree,YongHui\Vanguard,Tmall\Suning,,,
213,40 to 60,Female,South,Everyday,Famous fruit chain,Type\Freshness,Banana\Orange\Pineapple,XianFengsg\Guoduomei\Joyvio,YongHui\Walmart,Tmall\Pinduoduo,,,
214,30 to 40,Male,Northeast,Not regularly,Specialized fruit market,Type\Freshness,Banana\Cherry,XianFengsg\Joywingmau,Walmart\Lotus,JD\Tmall,,,
215,30 to 40,Female,Northeast,Twice a week,Specialized fruit market,Price\Type,Watermelon\Pineapple,XianFengsg\Joyvio\Joytree,Walmart\Freshippo,Tmall\Pinduoduo,,,
216,40 to 60,Female,Northwest,Other,Online platform,Price\Freshness,Watermelon\Pineapple,Guoduomei\Dole,YongHui\Vanguard,JD\Tmall,,,
217,40 to 60,Female,Northeast,Twice a week,Retail store in the neighborhood,Type\Freshness,Banana\Orange\Pineapple,XianFengsg\Joyvio\Goodfarmer,Lotus\Superspecies,JD\Suning,,,
218,40 to 60,Male,Southwest,Everyday,Retail store in the neighborhood,Type\Freshness,Apple\Banana\Orange,Guoduomei\Joyvio\HUASHENG,None or Other,Tmall\Pinduoduo,,,
219,40 to 60,Female,Northeast,Everyday,Specialized fruit market,Price\Type,Pineapple\Cherry,XianFengsg\Guoduomei,Lotus\Carrefour,Pinduoduo\Suning,,,
220,40 to 60,Male,North,Not regularly,Specialized fruit market,Type\Freshness,Orange\Watermelon\Pineapple,Pagoda\Guoduomei\HUASHENG,YongHui\Vanguard,Tmall\Pinduoduo,,,
221,30 to 40,Male,Southwest,Other,Famous fruit chain,Type\Velocity,Banana\Orange,XianFengsg\Joyvio,Lotus\Superspecies,JD\Tmall,,,
222,Above 60,Male,Southwest,Once a week,Famous fruit chain,Other,Banana\Orange\Watermelon,Pagoda\XianFengsg,YongHui\Vanguard,Meituan,,,
223,40 to 60,Male,Northeast,Twice a week,Retail store in the neighborhood,Price\Freshness,Banana\Orange\Pineapple,Pagoda\XianFengsg\Zespri,Lotus\Carrefour,Tmall\Suning,,,
224,Above 60,Male,Northwest,Twice a week,Famous fruit chain,Freshness\Velocity,Apple\Banana\Grape,Guoduomei\Dole,Lotus\Superspecies,Tmall\Pinduoduo,,,
225,40 to 60,Male,Northwest,Other,Fruit section of a large supermarket,Price\Type,Watermelon\Pineapple,Pagoda\Guoduomei,None or Other,JD\Tmall,,,
226,40 to 60,Male,Northeast,Twice a week,Fruit section of a large supermarket,Price\Freshness,Apple\Banana\Grape,XianFengsg\Joyvio,YongHui\Walmart,JD\Tmall,,,
227,30 to 40,Male,North,Twice a week,Online platform,Other,Apple\Banana\Watermelon,Pagoda\Joyvio\Joytree,Lotus\Carrefour,JD\Tmall,,,
228,Above 60,Male,Southwest,Everyday,Online platform,Other,Orange\Watermelon\Pomegranate,Guoduomei\Dole,Walmart\Freshippo,JD\Suning,,,
229,30 to 40,Female,North,Twice a month,Famous fruit chain,Price\Type,Watermelon\Pineapple\Pomegranate,Pagoda\XianFengsg\Dole,Walmart\Lotus,JD\Suning,,,
230,30 to 40,Male,South,Twice a week,Other,Type\Freshness,Banana\Watermelon,Pagoda\Guoduomei,YongHui\Walmart,JD\Tmall,,,
231,30 to 40,Male,North,Once a week,Specialized fruit market,Price\Type,Apple\Orange,XianFengsg\Guoduomei,YongHui\Vanguard,Tmall\Suning,,,
232,40 to 60,Male,Northwest,Twice a month,Retail store in the neighborhood,Type\Velocity,Apple\Banana\Watermelon,Pagoda\Joyvio\Joytree,Walmart\Carrefour,Tmall\Suning,,,
233,40 to 60,Male,Northeast,Other,Retail store in the neighborhood,Price\Velocity,Watermelon\Pineapple\Grape,XianFengsg\Guoduomei\Joyvio,Lotus\Superspecies,Meituan,,,
234,30 to 40,Male,Northwest,Not regularly,Retail store in the neighborhood,Other,Banana\Orange\Pineapple,Guoduomei\Joyvio\HUASHENG,None or Other,Tmall\Suning,,,
235,40 to 60,Male,South,Once a week,Specialized fruit market,Other,Banana\Orange\Watermelon,Pagoda\Joyvio\Goodfarmer,Walmart\Freshippo,JD\Tmall,,,
236,30 to 40,Female,Northeast,Twice a week,Retail store in the neighborhood,Type\Freshness,Apple\Banana\Watermelon,Joyvio\HUASHENG,None or Other,JD\Pinduoduo,,,
237,30 to 40,Female,East,Other,Online platform,Price\Velocity,Apple\Banana\Watermelon,Pagoda\Guoduomei\HUASHENG,Lotus\Superspecies,JD\Suning,,,
238,30 to 40,Female,Northwest,Once a week,Specialized fruit market,Price\Type,Banana\Watermelon\Strawberry,Pagoda\XianFengsg\Zespri,YongHui\Walmart,JD\Tmall,,,
239,40 to 60,Female,North,Not regularly,Retail store in the neighborhood,Price\Velocity,Orange\Grape,XianFengsg\Joyvio\Goodfarmer,Walmart\Carrefour,Tmall\Pinduoduo,,,
240,30 to 40,Male,South,Everyday,Specialized fruit market,Type\Velocity,Apple\Watermelon\Strawberry,Guoduomei\Joyvio\HUASHENG,YongHui\Vanguard,JD\Tmall,,,
241,30 to 40,Male,Northeast,Everyday,Retail store in the neighborhood,Freshness\Velocity,Orange\Watermelon\Pineapple,Pagoda\Joyvio,YongHui\Walmart,Tmall\Pinduoduo,,,
242,30 to 40,Male,Northwest,Everyday,Other,Price\Type,Apple\Banana\Orange,XianFengsg\Guoduomei\HUASHENG,None or Other,Tmall\Suning,,,
243,40 to 60,Female,Northwest,Twice a week,Specialized fruit market,Other,Banana\Watermelon\Other,Pagoda\XianFengsg,Walmart\Lotus,JD\Tmall,,,
244,30 to 40,Female,Northeast,Twice a week,Online platform,Price\Type,Banana\Watermelon,XianFengsg\Guoduomei\Joyvio,YongHui\Freshippo,JD\Tmall,,,
245,40 to 60,Female,Southwest,Everyday,Online platform,Freshness\Velocity,Apple\Banana\Orange,Joyvio\HUASHENG\Dole,Walmart\Lotus,Tmall\Pinduoduo,,,
246,40 to 60,Female,Northwest,Not regularly,Specialized fruit market,Other,Banana\Orange\Watermelon\Cherry,Pagoda\XianFengsg\Dole,Walmart\Freshippo,JD\Tmall,,,
247,40 to 60,Male,Southwest,Once a week,Specialized fruit market,Type\Velocity,Watermelon\Pineapple,XianFengsg\Guoduomei\Joyvio\Joywingmau,YongHui\Freshippo,Tmall\Suning,,,
248,40 to 60,Male,North,Twice a week,Specialized fruit market,Freshness\Velocity,Apple\Banana\Watermelon,XianFengsg\Guoduomei\HUASHENG,None or Other,JD\Pinduoduo,,,
249,30 to 40,Male,North,Once a week,Retail store in the neighborhood,Price\Freshness,Pineapple\Cherry,XianFengsg\Joyvio\Joytree,Walmart\Lotus,Tmall\Suning,,,
250,40 to 60,Female,North,Everyday,Specialized fruit market,Type\Freshness,Banana\Cherry,Pagoda\Guoduomei\HUASHENG,Walmart\Lotus,Tmall\Pinduoduo,,,
251,18 to 30,Male,Northwest,Not regularly,Fruit section of a large supermarket,Type,Orange\Pineapple\Strawberry,None or Other,Walmart\Freshippo,None or Other,,,
252,Under 18,Male,South,Not regularly,Fruit section of a large supermarket,Freshness,Apple,None or Other,None or Other,None or Other,,,
253,18 to 30,Female,East,Twice a week,Online platform,Price\Freshness,Cherry\Strawberry\Peach,Pagoda,Carrefour,Meituan,,,
